"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","CODE_IPC","CODE_JEDEC","COMMENT","COMMON ANODE","COMPONENTAVAILABILITY","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPTYPE","DATASHEETVERSION","FOOTPRINT","IC_TECHNOLOGY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PARTNUMBER","PINCOUNT","POWERWISE","PUBLISHED","PUBLISHER","ROHS","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ULN2003A","DIP16","SO16","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/5279/uln2001.pdf","","","","Sep-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","Seven Darlington Array"
"ULN2004A","DIP16","SO16","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/5279/uln2001.pdf","","","","Sep-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","Seven Darlington Array"
"ULN2065B","DIP16","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/1535/uln2065b.pdf","","","","Apr-1993","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","80 V -1.5 A Quad Darlington Switch"
"ULN2069B","DIP16","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/1535/uln2065b.pdf","","","","Apr-1993","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 16 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP16","","Apr-1996","","","","8-Jun-2000","Altium Limited","","","","","U?","80 V -1.5 A Quad Darlington Switch"
"ULN2803A","DIP18","SOIC-18","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/1536/uln2801a.pdf","","","","Sep-1997","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 18 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP18","","","","","","8-Jun-2000","Altium Limited","","","","","U?","Eight Darlington Array"
"VNH2SP30","MultiPowerSO-30","","","","","","","","","","","","","","","","","","VNH2SP30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Automotive fully integrated H-bridge motor driver - 30A"
"VNH5019a","MultiPowerSO-30","","","","","","","","","","","","","","","","","","VNH5019a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","J?","Automotive fully integrated H-bridge motor driver"
"W25Q32FVSSIG","TSSOP8","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","SERIAL FLASH MEMORY WITH DUAL/QUAD SPI & QPI"
"W91580","DIP22","","","","","","","","","","","","","","","","","","W91580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","24-MEMORY TONE/PULSE SWITCHABLE DIALER WITH HANDFREE AND HOLD FUNCTIONS"
"WS2811","DIP8","TSSOP8","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Signal line 256 Gray level 3 channal Constant current LED drive IC"
"XPT2046","TSSOP16","","","","","","","","","","","","","","","","","","XPT2046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Touch Screen Controller"
"XR2206","DIP16","","","","","","","","","","","","","","","","","","XR2206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Monolithic Function Generator"
"XTAL","XTAL 0.2","Xtal-clock","Xtal-HC49/4H_SMX","XTAL-CM415","","","","","","","","","","","","","","","XTAL","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","Crystal, Thru-Hole; 2 Leads; Body 3.1 x 8.2 mm (Dia.xH)","R38","","","","","","8-Jun-2000","Altium Limited","","","","","Y?","Crystal Oscillator"
