"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","CODE_IPC","CODE_JEDEC","COMMENT","COMMON ANODE","COMPONENTAVAILABILITY","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPTYPE","DATASHEETVERSION","FOOTPRINT","IC_TECHNOLOGY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PARTNUMBER","PINCOUNT","POWERWISE","PUBLISHED","PUBLISHER","ROHS","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"LM2576-15","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator, 5-pin TO-220"
"LM2576-3.3","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator, 5-pin TO-220"
"LM2576-5","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator, 5-pin TO-220"
"LM2576-ADJ","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator, 5-pin TO-220"
"LM2596-12","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator"
"LM2596-15","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator"
"LM2596-3.3","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator"
"LM2596-5","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator"
"LM2596-ADJ","D2-PAK","TO220-5","","","","","","","","","","","","","","","","TO-220-AB","","","","LM2576 Datasheet","http://www.national.com/ds/LM/LM2576.pdf","LM2576 Web Page","http://www.national.com/pf/LM/LM2576.html","T05A Package Page","http://www.national.com/packaging/folders/t05a.html","Switcher","Aug-2004","","","","","National Semiconductor","","TO-220, Molded, 5 Lead, Straight","T05A","NSUZXYTTE#*LM2576T*-ADJ P+","revJ, Jan-1992","LM2576T-ADJ","5","N","4-Dec-2008","Altium Limited","N","","","","U?","SIMPLE SWITCHER® 3A Step-Down Voltage Regulator"
"LM317T","TO-220AB","","","","","","","","","","","","","","","","","","","","","LM317 Datasheet","http://www.national.com/ds/LM/LM317.pdf","LM317 Web Page","http://www.national.com/pf/LM/LM317.html","T03B Package Page","http://www.national.com/packaging/folders/t03b.html","LDO IC","Apr-2007","","","","","National Semiconductor","","TO-220, Molded, 3 Lead, Straight","T03B","NSUZXYTTE#*LM317T P+","revL, Jan-1992","LM317T","3","N","4-Dec-2008","Altium Limited","N","","","","U?","3-Terminal Adjustable Regulator, 3-pin TO-220"
"LM324AN","DIP14","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/4797/lm224a.pdf","","","","Nov-1997","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 14 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP14","","Jan-1997","","","","24-Aug-2001","Altium Limited","","","","","U?","Low-Power Quad Operational Amplifier"
